tweets
"""Kalau Pak Luhut ya monggo saja, bisa evaluasi sendiri. Kan banyak orang yang mengatakan beliau prime minister. Menteri utama,"" uajr Bambang https://t.co/PsS5orrKLb"
"Mahasiswa Lebak Tolak Penundaan Pemilu dan Jokowi 3 Periode.
7 April 2022

https://t.co/2kCsYjXpQN

#PresidenGakTauDiri https://t.co/BWekEbXONg"
@forjakeu Stop isu penundaan pemilu
@pelitabangsa45 Stop isu penundaan pemilu
"@muispebrianto Saya prihatin melihat ini, masih saja ada yg menggoreng trs masalah presiden 3 periode dan penundaan pemilu....
Sy sebenernya bisa jelaskan, tapi tentunya tak elok dimata rakyat.... 😀🤭"
"Ketum parpol yg lempar isu.pemerintah Jokowi,Mendagri,Luhut dll ngasih tanggapan seolah membuka peluang.rakyat bereaksi kok malah disalahkan.
Ya tak mungkin lah Eksekutif secara resmi diskusi ttg 3 periode atau penundaan Pemilu. Tp person person di pemerintah itu yg bermasalah. https://t.co/6QIFlkl4Dg"
@AliBej0 Stop isu penundaan pemilu
@chinta_chintata Stop isu penundaan pemilu
@Penyair_Berdiri Stop isu penundaan pemilu
@garuda080 Stop isu penundaan pemilu
"PencitRaan doang

Kritik Keras Sikap Jokowi Soal Penundaan Pemilu, Ketua BEM UI: Saya Curiga Ini Hanya Ganti Aktor Saja https://t.co/htZclQHtgH"
@caul_tanjung Ngereng tretan Madureh mendukung seruan tolak 3 periode &amp; tolak penundaan pemilu
Mewaspadai Black Campaign Kelompok Oposisi Yang Memanfaatkan Isu Penundaan Pemilu https://t.co/88Gt9ViAZI
Mewaspadai Black Campaign Kelompok Oposisi Yang Memanfaatkan Isu Penundaan Pemilu https://t.co/vPNAGdUqaH
"@Stakof yaaa udah dehhh, 3 periode atau penundaan pemilu aja.... heee 🤫🤫

gayanya masih sama ketika waktu mau mencalonkan gubernur dki kala itu, persis ngak berubah, pendukungnya juga sama aja, masjid lagi masjid lagi...."
@Alivia78274464 Apa sih yang mereka tuntut? Isu perpanjangan masa jabatan ? Penundaan pemilu? Itu ranah Legislatif...Jokowi sebagai Eksekutif sdh bilang tidak mau...Trus apa lagi? Mengapa buang2 energi demikian besar untuk sesuatu yg absurd?
"Sikap tegas Presiden Joko Widodo, soal larangan menyuarakan wacana perpanjang masa jabatan dan penundaan Pemilu 2024 diharapkan tidak hanya ditujukan pada Menteri2nya saja, akan tetapi juga pada pimpinan2 Partai dan pendukungnya. https://t.co/UcPUTj3hb9"
"Tak Gentar dengan Isu Penundaan, KPU Tetap Siapkan Pemilu 2021, Ini yang Sudah Dilakukan https://t.co/chAdE8wHvz https://t.co/6Q3EcV4443"
"@alisyarief Yg diminta mahasiswa itu pernyataan dari pak Jokowi, bukan himbauan pak Jokowi kepada para menterinya untuk tdk lg membicarakan penundaan pemilu..."
"Menurut Wapres Ma'ruf Amin penundaan pemilu tidak ada hubungannya dengan pemerintahan karena itu merupakan isu.
#ProkesVaksinTangkalKovid https://t.co/WixyJFKzCj"
"Presiden Jokowi tidak berharap ada penundaan pemilu 2024, itu merupakan isu paryai-partai.
#ProkesVaksinTangkalKovid https://t.co/cz0pxofKt2"
"Walaupun ada aspirasi untuk penundaan pemilu namun sudah menjadi konstitusi bahwa pemilu akan berlangsung di tahun 2024 tidak ada penundaan.
#ProkesVaksinTangkalKovid https://t.co/BQDoPmqVFm"
"@pejuangind01 @jokowi @Nicho_Silalahi @Helmi_Felis belis,,,kalian bodoh ,,,urusan penundaan pemilu ada di tangan DPR dan partai bukan urusan presiden ,,,karena kebanyakan makan TAI ....jadi kalian bodoh"
"Benar apa yang dikatakan Ketua Umum PAN Zulkifli Hasan terkait wacana penundaan pemilu tidak ada hubungannya dengan presiden Jokowi

Wacana penundaan pemilu tersebut hanya sebatas internal partai dan tidak ada kaitannya dengan presiden Jokowi. https://t.co/kVWeo2u2nz"
"Jokowi Taat Konstitusi, Keluarkan Instruksi ke Menteri, Tak Bahas Penundaan Pemilu dan Perpanjangan Jabatan. Mudik Yuk Vaksin
https://t.co/Nhn7Zcw9AB"
"PKS Tantang Jokowi Sanksi Luhut soal Penundaan Pemilu 2024 kalau Memang Serius, Berani? https://t.co/rRl9ATDKpc"
"Wapres Ma'ruf Amin menegaskan mandat yang diberikan kepada Presiden dan dirinya hanya sampai tahun 2024.

Menurutnya, wacana penundaan pemilu yang berkembang bukan menjadi urusan dirinya dan Presiden Jokowi. https://t.co/jOUDI0GP60"
"Penundaan pemilu 2024 hanya isu, sesuai konstitusi pemilu tetap akan berlangsung ditahun 2024 bertepatan dengan hari valentin
#ProkesVaksinTangkalKovid https://t.co/LqNqjKZivN"
"Lips service..

Peringatan Jokowi kepada menteri soal isu penundaan pemilu dinilai telat. https://t.co/BN7K0FdyNE"
"Jokowi Larang Menteri Bicara Penundaan Pemilu, NasDem: Presiden Taat Konstitusi . Mudik Yuk Vaksin
https://t.co/SJaqQ3DGdS"
